Asset,Avg_Return,Volatility,Max_Drawdown,Beta,Type,Beta_Group,Is_Crypto
AAPL,0.004699667564088164,0.03327508077095838,-0.11048952613105636,0.9682374418218118,Stock,Low Beta,0
ABBV,-0.0010977475834895367,0.029303661479101958,-0.13668332134306238,0.03903556030536067,Stock,Low Beta,0
AMD,0.03534769375245698,0.09763608232502194,-0.2589725889432066,2.22781251923354,Stock,High Beta,0
AMZN,0.006540223415450273,0.05059342682153507,-0.19641850851970627,1.9756437943047835,Stock,High Beta,0
AVGO,0.002686944401611111,0.05572710636694026,-0.25239396784582735,2.2148716669302444,Stock,High Beta,0
BAC,-0.00031623856520251347,0.03686139684357291,-0.16886401776583762,1.0556895256370802,Stock,High Beta,0
BRK-B,-0.0020364952618495114,0.018115131920065825,-0.08820382542099243,0.3880643581408829,Stock,Low Beta,0
BTC-USD,-0.0053199845649415205,0.05009883477718371,-0.29792810420379057,1.0,Crypto,High Beta,1
COST,0.005328405735547132,0.03172132042638285,-0.06467897345469503,0.16053132847029783,Stock,Low Beta,0
CVX,0.010735452828484107,0.03134635303350439,-0.13985316283182175,-1.2491042224042117,Stock,Low Beta,0
ETH-USD,-0.011333828306163553,0.06855459812233754,-0.40978005184967253,1.3235855790542619,Crypto,High Beta,1
GOOG,0.007884188406029028,0.046324759050060046,-0.19075750224940735,2.0723431746829037,Stock,High Beta,0
GOOGL,0.00829182393660044,0.04710261961628379,-0.18777185297918023,2.0964185180532873,Stock,High Beta,0
JNJ,0.005820145729530392,0.02769917686546336,-0.10438923389564429,-0.3838132163741435,Stock,Low Beta,0
JPM,2.089255919930366e-06,0.03166802481682871,-0.13692445240833256,0.9371720955906216,Stock,Low Beta,0
KO,0.005182540591468312,0.02436841937093812,-0.07719491377598749,0.16626511538319758,Stock,Low Beta,0
LLY,0.0006229431807692442,0.042900341624532545,-0.18572894494997833,0.7363179586389925,Stock,Low Beta,0
MA,-0.003432493433572246,0.028719312922761777,-0.1632722905552145,0.8901648638282699,Stock,Low Beta,0
META,-0.0007424558649728663,0.05745052761148345,-0.2656384201541909,2.233313622253808,Stock,High Beta,0
MS,0.007832098414629129,0.034969777723987364,-0.17645699849882357,1.4710150913174478,Stock,High Beta,0
MSFT,-0.005401755583198029,0.04306727557413669,-0.27321745224166466,1.4501780368169594,Stock,High Beta,0
MU,0.051723667944823554,0.09985311694200612,-0.16570518645989632,2.8092555356359035,Stock,High Beta,0
NFLX,-0.0062208519323193375,0.05839295839429936,-0.2854619684121229,0.13664207443469595,Stock,Low Beta,0
NVDA,0.008715786760386984,0.04198034694924642,-0.12348104440178206,1.560956822886276,Stock,High Beta,0
ORCL,0.0016735998779679928,0.08697330146402105,-0.36365918675754016,2.1974087366010853,Stock,High Beta,0
PG,-5.509535217135042e-05,0.027861866323315453,-0.14691362156671134,0.5695589326794839,Stock,Low Beta,0
PLTR,-0.0058321094572240904,0.07115262256088724,-0.33778056507859955,0.5290566161555089,Stock,Low Beta,0
SOL-USD,-0.014868446032687395,0.07343511274589773,-0.41628696667022913,1.3354222342075024,Crypto,High Beta,1
TSLA,0.0007677759836436904,0.049901267728863385,-0.2748337419889774,1.4811351963624768,Stock,High Beta,0
UNH,0.009004677269716006,0.06044214104430417,-0.2672944130679632,1.4638719045587547,Stock,High Beta,0
V,-7.56949841563337e-05,0.029901951273996596,-0.16583280720772234,0.8186573681593451,Stock,Low Beta,0
WMT,0.00441385025499672,0.04020599369832582,-0.11106126981758735,-0.10685160246622624,Stock,Low Beta,0
XOM,0.012904394519830276,0.0381356970635975,-0.15451195023239395,-1.4573677158558518,Stock,Low Beta,0
XRP-USD,-0.016846721346141565,0.05580296553789574,-0.38684952028149927,0.9529031280384369,Crypto,Low Beta,1
